Bezeichnung Auftragskonto;IBAN Auftragskonto;BIC Auftragskonto;Bankname Auftragskonto;Buchungstag;Valutadatum;Name Zahlungsbeteiligter;IBAN Zahlungsbeteiligter;BIC (SWIFT-Code) Zahlungsbeteiligter;Buchungstext;Verwendungszweck;Betrag;Waehrung;Saldo nach Buchung;Bemerkung;Gekennzeichneter Umsatz;Glaeubiger ID;Mandatsreferenz
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;15.04.2025;15.04.2025;Max Mustermann GmbH;DE12500105170648489890;NASSDE55XXX;Überweisungsauftrag;Rechnung 2025-0423 TAN: 123456 IBAN: DE12500105170648489890 BIC: NASSDE55XXX;-1250,50;EUR;5420,75;;;; 
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;12.04.2025;12.04.2025;Beispiel Handelsgesellschaft e.K.;DE89370400440532013001;COBADEFFXXX;Überweisungsgutschr.;Zahlungseingang Rechnung 2025-0389;3200,00;EUR;6671,25;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;10.04.2025;10.04.2025;Muster Versicherung AG;DE89370400440532013002;COBADEFFXXX;Basislastschrift;Monatliche Versicherungsprämie 04/2025 EREF: REF20250410-001 MREF: MRN20250410001 CRED: DE89ZZZ00000012345 IBAN: DE89370400440532013002 BIC: COBADEFFXXX ABWA: Muster Versicherung AG;-89,50;EUR;3471,25;;;DE89ZZZ00000012345;MRN20250410001
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;08.04.2025;08.04.2025;Online Shop Beispiel GmbH;NL91ABNA0417164300;ABNANL2AXXX;Überweisungsauftrag;Bestellung 2025-4567 TAN: 789012 IBAN: NL91ABNA0417164300 BIC: ABNANL2AXXX;-245,99;EUR;3560,75;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;05.04.2025;05.04.2025;Beispiel Energie GmbH;DE89370400440532013003;COBADEFFXXX;Basislastschrift;Stromrechnung März 2025 EREF: EN20250405-789 MREF: MRN20250405002 CRED: DE89ZZZ00000023456 IBAN: DE89370400440532013003 BIC: COBADEFFXXX ABWA: Beispiel Energie GmbH;-156,80;EUR;3806,74;;;DE89ZZZ00000023456;MRN20250405002
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;03.04.2025;03.04.2025;Muster Telekom AG;DE89370400440532013004;COBADEFFXXX;Basislastschrift;Telefon/Internet Rechnung 03/2025 EREF: TEL20250403-456 MREF: MRN20250403003 CRED: DE89ZZZ00000034567 IBAN: DE89370400440532013004 BIC: COBADEFFXXX ABWA: Muster Telekom AG;-42,90;EUR;3963,54;;;DE89ZZZ00000034567;MRN20250403003
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;01.04.2025;01.04.2025;Beispiel Software Solutions;DE89370400440532013005;COBADEFFXXX;Überweisungsgutschr.;Zahlungseingang Softwarelizenz Q2/2025;850,00;EUR;4006,44;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;28.03.2025;28.03.2025;;;;Abschluss;Abschluss per 28.03.2025;-1,20;EUR;3156,44;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;25.03.2025;25.03.2025;Beispiel Beratung GmbH;DE89370400440532013006;COBADEFFXXX;Überweisungsauftrag;Beratungsleistung März 2025 TAN: 345678 IBAN: DE89370400440532013006 BIC: COBADEFFXXX;-1200,00;EUR;3157,64;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;20.03.2025;20.03.2025;Muster Bürobedarf OHG;DE89370400440532013007;COBADEFFXXX;Überweisungsauftrag;Büromaterial Bestellung 2025-123 TAN: 901234 IBAN: DE89370400440532013007 BIC: COBADEFFXXX;-89,45;EUR;4357,64;;;;
